,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG Program Environment,Go To BG Program Environment,Program Environment 2021-2027,https://www.eufunds.bg/bg/opos/node/10795,Bulgaria,0,All reguons,0,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,"The program offers EU funding and national co-funding with a different rate for the separate priorities. Part of the initiatives will be financed through grants, the rest will be divided to loans and self-funding. ",0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Supporting sustainable development and affirmation of the goal of preserving, protecting and improving the quality of the environment.
A greener, low-carbon and sustainable Europe with a net-zero carbon transition economy by promoting a clean and fair energy transition, green and blue investments, circular economy, climate change mitigation and adaptation, prevention and management of risk and sustainable urban mobility",Water, Ministry of Environment and Water (MoEW),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.eufunds.bg/bg/opos/term/1380,0,0,0,0,0,0,0
BG Program Development of Reg,Go To BG Program Development of Reg,Operational Program Development of Regions 2021-2027,http://old.bgregio.eu/media/Programirane/2021-2027/%D0%9E%D0%B4%D0%BE%D0%B1%D1%80%D0%B5%D0%BD%D0%B0%20%D0%9F%D0%A0%D0%A0%202021-2027.pdf,Bulgaria,0,Southwest and Northwest Bulgaria,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,"19% national co-funding and 81% EU funding. Part of the initiatives will be financed through grants, the rest will be divided to loans/guaranty and grants.",0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The main objective  is to create vibrant, economically strong and sustainable regions as a response to unfavorable demographic trends and deepening of inter- and intra-regional differences. The specific objectives are:
1. Dealing with negative demographic trends and reducing regional distancing through communication and common projects
2. Increasing the economic growth of the Bulgarian regions
3. Promotion of balanced territorial development through a polycentric network of cities, supported by integrated investments",0,"Main Directorate ""Strategic Planning and Programs for Regional Development"", specialised administration of the Ministry of Regional Development and Public Works",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://bgregio.eu/wps/portal/operativna-programa/regional-development-program-2021-2027/planning-programming-prd-2021-2027,https://www.mrrb.bg/en/infrastructure-and-programmes/op-regions-in-growth/contact-persons/,0,0,0,0,0,0
BG Competitiveness Innovation ,Go To BG Competitiveness Innovation ,Operational Program Competitiveness and Innovation in Enterprises,https://www.mig.government.bg/wp-content/uploads/2022/12/nov-programen-period-2021-2027-g-30_ver.1.1.pdf,Bulgaria,0,North and South-Eastern Bulgaria; Southwest and South Central Bulgaria;,0,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,"combined financing between financial instruments (guaranty investments and loans) and a grant. A combination with a grant within one operation is envisaged (e.g. energy audit, energy management systems, energy consumption monitoring and control systems, other investments)",0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The main priorities of the Program are two - ""Innovations and Growth"" and ""Circular Economy"". In addition to the greater energy independence of companies, in the second priority - ""Circular Economy"", funding is set for more efficient use of resources, the development of new green production lines, increasing the use of by-products and secondary raw materials, improving recycling , reduction of hazardous substances, waste, etc.",0,Ministry of Innovation and Growth,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.mig.government.bg/programa-konkurentosposobnost-i-inovaczii-v-predpriyatiyata/proczeduri-po-pkip/,https://www.mig.government.bg/kontakti/,0,0,0,0,0,0
BG Climate Microprojects Prog,Go To BG Climate Microprojects Prog,Climate Microprojects Program ,https://ecofund-bg.org/bg/programs/%d0%b4%d0%be%d0%ba%d1%83%d0%bc%d0%b5%d0%bd%d1%82%d0%b8-%d0%bf%d1%80%d0%be%d0%b3%d1%80%d0%b0%d0%bc%d0%b0-%d0%bc%d0%b8%d0%ba%d1%80%d0%be%d0%bf%d1%80%d0%be%d0%b5%d0%ba%d1%82%d0%b8-%d0%b7%d0%b0-%d0%ba/,Bulgaria,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,"The program provides grant funding to the proposed project, but no more than BGN 50,000.",0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"2 types of projects are supported:
- Small infrastructure projects (supply of equipment, software, construction of small infrastructure) leading to direct or indirect reduction of emissions of greenhouse gases or adaptation to climate changes that are realized in municipal or state property, as well as BAS property.
- Activities related to climate mitigation and adaptation changes (development of strategies / programs / reports / analyses, educational projects, events, publications, research and studies, etc.)",0,National Trust EcoFund,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"https://ecofund-bg.org/wp-content/uploads/2023/03/0323_Pokana_Mikroproekti-i-Ukazaniia.pdf
https://ecofund-bg.org/bg/programs/%d0%b4%d0%be%d0%ba%d1%83%d0%bc%d0%b5%d0%bd%d1%82%d0%b8-%d0%bf%d1%80%d0%be%d0%b3%d1%80%d0%b0%d0%bc%d0%b0-%d0%bc%d0%b8%d0%ba%d1%80%d0%be%d0%bf%d1%80%d0%be%d0%b5%d0%ba%d1%82%d0%b8-%d0%b7%d0%b0-%d0%ba/
",https://ecofund-bg.org/en/contacts/,0,0,0,0,0,0
BG Climate investment program,Go To BG Climate investment program,Climate Investment Program ,https://ecofund-bg.org/wp-content/uploads/2017/10/Operativno-rakovodstvo-IPK-oct-2017.pdf,Bulgaria,0,All regions,0,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,Depending on the activity the funding can be covered by program grants in 60% to 85% (but no more than 800 000 BGN) and the rest has to be self-funded.,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The Climate Investment Program applies the following schemes:
- Scheme for improving the energy efficiency of buildings and other objects (Energy efficiency scheme - CEE);
- Scheme to promote the use of electric vehicles (Scheme electric cars - SEM)

",✓Targeted spending of greening funds from the European scheme for emissions trading;,National Trust EcoFund,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://ecofund-bg.org/bg/programs/%d0%b4%d0%be%d0%ba%d1%83%d0%bc%d0%b5%d0%bd%d1%82%d0%b8-%d0%bf%d1%80%d0%be%d0%b3%d1%80%d0%b0%d0%bc%d0%b0-%d0%b7%d0%b0-%d0%ba%d0%bb%d0%b8%d0%bc%d0%b0%d1%82%d0%b0/,https://ecofund-bg.org/en/contacts/,0,0,0,0,0,0
BG Maritime Fishery & Aquacult,Go To BG Maritime Fishery & Aquacult,Operational Program European Maritime Fisheries and Aquaculture Fund 2021-2027,https://oceans-and-fisheries.ec.europa.eu/system/files/2022-11/emfaf-programme-bulgaria_bg.pdf,Bulgaria,0,All regions,0,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,Self-funding in combination with EU+National grants.,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The main objectives: 
1.Promotion of sustainable fisheries and conservation of aquatic biological resources.
2.Creating  conditions for the growth of a sustainable blue economy and stimulating the development of fisheries and aquaculture communities in coastal and inland areas.
3. Stimulation and sustainable development of aquaculture, processing of fishery and aquaculture products and development of markets.",0,Ministry of Agriculture and Food,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.eufunds.bg/bg/pmdr,https://www.mzh.government.bg/bg/kontakti/,0,0,0,0,0,0
CZ_Modernizacni fond,Go To CZ_Modernizacni fond,Modernizacni fond (Modernization Fund),www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/ ,Czechia,0,all Czech regions,0,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,30 % - 75 % ,YES,depends on particular call,YES,NO,0,MEDIUM,Czech language,,Meet Green Deal objectives,"Renewable energy sources, Energy efficiency, Energy storage and distribution",Ministry of Envrionment + State Fund of Environment,,1,Renewable energy,0,https://www.sfzp.cz/o-modernizacnim-fondu/,yes,HEAT,https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/programy/,RES plus,https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/programy/,ENERG ETS,https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/programy/,TRANSCom/TRANSGov,https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/programy/,KOMUNERG,https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/programy/ ,,https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/vyzvy/ ,"Statni fond zivotniho prostredi/SFZP, odd. Modernizacni a Inovacni Fond, modernizacni.fond@sfzp.cz
https://www.sfzp.cz/o-modernizacnim-fondu/",https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/dokumenty/,Programme documents,https://www.sfzp.cz/dotace-a-pujcky/modernizacni-fond/caste-dotazy/,FAQ,0,0
CZ_OPZP,Go To CZ_OPZP,Operacni program Zivotni prostredi - OPZP (Operational Programme Environment),www.opzp.cz,Czechia,0,all Czech regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,up to 100 %,YES,depends on particular call,YES,NO,0,MEDIUM,Czech language,,"Protection of environment, natural sources, biodiversity, increased resistance and climate related measures","Risk prevention & Resistance, Climate Mitigation & Adaptation, Energy efficiency, Renewable energy; Sustainable Water Management, Circular Economy, Nature and Biodiversity, Blue-Green Infrastracture, Air and Soil quality",Ministry of Environment,,1,Climate,0,https://opzp.cz/oblasti-podpory/ ,0,0,0,0,0,0,0,0,0,0,0,,https://opzp.cz/nabidka-dotaci/ ,"Ministerstvo životního prostředí, Vršovická 1442/65, 100 10 Praha 10, tel. +420 267 121 111, info@mzp.cz
https://www.mzp.cz/cz/kontaktni_informace  ",https://opzp.cz/jak-na-to/ ,https://www.dotaceeu.cz/cs/jak-ziskat-dotaci ,How to access EU programmes and apply for a grant,0,0,0
CZ_OPST,Go To CZ_OPST,Operační program Spravedlivá Transformace - OPST (Operation Programme Just Transition),www.opst.cz,Czechia,0,3 Czech Just Transition regions,"Moravian-Silesian Region, Usti Region, Karlovy Vary Region",YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,up to 85 %,YES,depends on particular call,YES,NO,0,LOW,Czech language,,"ensure the establishment of small and medium-sized enterprises;
• increase foreign investment;
• support the growth of innovation performance;
• ensure competent workers for the industry, services and public administration;
• remove development barriers related to social instability;
Sustainable just transition in Czech just transition regions","Priority 1 Usti Region, Priority 2, Karlovy Vary Region, Priority 3 Moravian-Silesian Region",Ministry of Environemnt,,1,Usti Region,0,https://opst.cz/spravedliva-transformace/ (see link to each region priority),yes,Strategic Projects,https://opst.cz/o-programu/strategicke-projekty/ ,Umbrella Projects,https://opst.cz/o-programu/zastresujici-projekty/ ,Thematic Projects/Calls,https://opst.cz/o-programu/ ,0,0,0,0,,https://opst.cz/nabidka-dotaci/ ,"Ministerstvo životního prostředí, Vršovická 1442/65, 100 10 Praha 10, tel. +420 267 121 111, dotazy-opst@sfzp.cz   
https://opst.cz/kontakty/",https://opst.cz/jak-na-to/ ,"Webinars, applicant instructions, FAQ, useful links",https://www.dotaceeu.cz/cs/jak-ziskat-dotaci ,How to access EU programmes and apply for a grant,0,0
CZ_IROP,Go To CZ_IROP,Integrovany operacni program - IROP (Integrated Operational Programme),https://irop.mmr.cz/ ,Czechia,0,"all Czech Regions (CZ0 – Česká republika, CZ01 – Praha, CZ02 – Střední Čechy, CZ03 – Jihozápad, CZ04 – Severozápad, CZ05 – Severovýchod, CZ06 – Jihovýchod, CZ07 – Střední Morava, CZ08 – Moravskoslezsko)",0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,40 % - 85 %,YES,depends on particular call,YES,NO,0,MEDIUM,Czech language,,sustainable regional development in line with EU priorities,"Government, Green infrastructure and civil protection, climate mitigation and adaptation, transport and sustainable mobility, education, social care and inclusion, community-led local development",Ministry of Regional Development,,1,Government,0,https://irop.mmr.cz/cs/irop-2021-2027 ,0,0,0,0,0,0,0,0,0,0,0,,https://irop.mmr.cz/cs/vyzvy-2021-2027 ,"Ministerstvo pro mistni rozvoj, Staromestske namesti 1, Prague, irop@mmr.cz
https://irop.mmr.cz/cs/kontakty-irop-2021-2027 ",https://irop.mmr.cz/cs/zadatele-a-prijemci/kalendar-akci ,0,https://www.crr.cz/irop/konzultacni-servis-irop/ ,consultancy service,0,0
CZ_OPTAK,Go To CZ_OPTAK,Operacni program Technologie a aplikace pro konkurenceschopnost - OPTAK (Operational Programme Technology and application for competition),https://optak.cz/ ,Czechia,0,"all Czech Regions (CZ0 – Česká republika, CZ01 – Praha, CZ02 – Střední Čechy, CZ03 – Jihozápad, CZ04 – Severozápad, CZ05 – Severovýchod, CZ06 – Jihovýchod, CZ07 – Střední Morava, CZ08 – Moravskoslezsko)",0,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,20 - 70 %,YES,depends on subprogrammes and calls,YES,NO,0,MEDIUM,Czech language,,"Support to low-carbon economy, sustainable management and competition of Czech companies",see subprogrammes,Ministry of Trade and Industry,,1,"R&D, innovation and digital transformation in business sector",0,https://www.agentura-api.org/cs/op-tak/ ,0,0,0,0,0,0,0,0,0,0,0,,https://www.mpo.cz/cz/podnikani/dotace-a-podpora-podnikani/optak-2021-2027/aktivity/ ,"Ministerstvo průmyslu a obchodu ČR, TEL. +420 800 800 777; programy@agentura-api.org ",0,0,https://www.mpo.cz/assets/cz/podnikani/dotace-a-podpora-podnikani/optak-2021-2027/aktualni-informace/2023/5/OP-TAK-aktivity_update-vnitrni-tabulka-online.pdf ,Priority overview,0,0
CZ OP Doprava,Go To CZ OP Doprava,Operační program Doprava (Operation Programme Transport),https://www.opd.cz/pages/home.aspx,Czechia ,0,"CZ0 - Česko
CZ01 - Praha
CZ010 - Hlavní město Praha
CZ02 - Střední Čechy
CZ020 - Středočeský kraj
CZ03 - Jihozápad
CZ031 - Jihočeský kraj
CZ032 - Plzeňský kraj
CZ04 - Severozápad
CZ041 - Karlovarský kraj
CZ042 - Ústecký kraj
CZ05 - Severovýchod
CZ051 - Liberecký kraj
CZ052 - Královéhradecký kraj
CZ053 - Pardubický kraj
CZ06 - Jihovýchod
CZ063 - Kraj Vysočina
CZ064 - Jihomoravský kraj
CZ07 - Střední Morava
CZ071 - Olomoucký kraj
CZ072 - Zlínský kraj
CZ08 - Moravskoslezsko
CZ080 - Moravskoslezský kraj",0,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,up to 85 %,NOT SPECIFIED,0,NOT SPECIFIED,NO,0,0,Czech,,"A clear priority for the Czechia is the development of backbone, suburban and urban transport infrastructure and sustainable transport, which will enable better connectivity between regions, and thus between the Czechia and other EU countries. Other topics are sustainable national and regional mobility in road and rail transport and alternative fuels.",0,Ministry of Transport,,1,"European, national and regional mobility in road and rail transport",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.opd.cz/stranka/vyzvy,"Šárka Šťávová
+420 225 131 552
e-mail: sekretariat.430@mdcr.cz",0,0,0,0,0,0
CZ_NÁRODNÍ PLÁN OBNOVY,Go To CZ_NÁRODNÍ PLÁN OBNOVY,Národní plán obnovy (National recovery plan),https://www.planobnovycr.cz/,Czechia,0,all regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,up to 100 %,YES,depends on the call,NOT SPECIFIED,NO,0,0,Czech,,The National Recovery Plan is the Czechia's blueprint for reforms and investments to mitigate the impact of the COVID-19 pandemic and restart the economy using funds from the Recovery and Resilience Facility (RRF).,0,"The highest decision-making and approval body is the National Recovery Plan Steering Committee. The Ministry of Industry and Trade is responsible for the coordination and monitoring of the Plan, as well as for reporting to the Council of the EU. The responsible bodies are the so-called component owners, which are individual czech ministries.",,1,Digital transformation ,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.planobnovycr.cz/vyhlasene-vyzvy,npo@mpo.cz,0,0,0,0,0,0
SK_Program Slovensko,Go To SK_Program Slovensko,Program Slovensko (Programme Slovakia),https://www.eurofondy.gov.sk/operacny-program-slovensko/index.html,Slovakia,0,all regions,in case of Just Transition Fund: Upper Nitra region and selected districts of the Košice Region,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,up to 100 % ,YES,depends on particular call,YES,NO,0,0,Slovak,,"The key objectives are alined with EU objectives (see sub-programs). Investments will go towards improving people's lives in the regions, energy security, digitalisation and green solutions.The program merges 6 previous programs (2014-2020).



",0,"Ministry of Investment, Regional Development and Informatisation of the Slovak Republic, Ministry of Environment of the Slovak Republic, SIEA (Slovak Innovation and Energy Agency), part of the allocation for measures are part of the mechanism of integrated territorial investments in the decision-making competence of functional urban areas and VÚC (regions).",,1,More competitive and smarter Slovakia,0,https://www.eurofondy.gov.sk/program-slovensko/index.html,0,0,0,0,0,0,0,0,0,0,0,,https://www.eurofondy.gov.sk/vyzvy/vyzvy-program-slovensko/,"Mgr., Ing. Ján Ridzoň
jan.ridzon@mirri.gov.sk 0903 315 851",https://drive.google.com/file/d/1lBGM9P_sDyunohdYskpuHaZcLYRU0Ke0/view,Program document,0,0,0,0
SK_Plán obnovy,Go To SK_Plán obnovy,Plán obnovy (Recovery plan),https://www.planobnovy.sk/,Slovakia,0,all regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,up to 100 %,YES,depends on the call,NOT SPECIFIED,NO,0,0,Slovak,,"The Recovery Plan for the Slovak Republic was developed in response to the crisis caused by the COVID-19 pandemic and thus responds to its economic impact. However, it is also a response to long-term systemic weaknesses in the Slovak economy.",0,Office of the Government of the Slovak Republic,,1,Better education for everyone ,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.planobnovy.sk/realizacia/vyzvy/,"NÁMESTIE 1. MÁJA
811 06 BRATISLAVA

+421 2 209 25 825

PLANOBNOVY@VLADA.GOV.SK",0,0,0,0,0,0
SK_Program rybné hospodárstvo,Go To SK_Program rybné hospodárstvo,Program rybné hospodarstvo (Fisheries programme),https://www.mpsr.sk/rozvoj-vidieka-a-priame-platby-rybne-hospodarstvo/prh-2021-2027/1-43-1510,Slovakia,0,all regions,0,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,"22,5 % - 50 %",NOT SPECIFIED,0,NOT SPECIFIED,NOT SPECIFIED,0,0,Slovak,,"The Fisheries Programme focuses on the freshwater aquaculture sector and its main objective is to promote competitive and sustainable aquaculture, ensuring a high level of public health and creating higher added value for aquaculture products, as well as raising awareness of the aquaculture sector and improving data collection, which is also a key objective for the aquaculture sector as defined in the Green Deal and the European Commission's ""Farm to Table"" strategy.",0,Ministry of Agriculture and Rural Development of the Slovak Republic,,1,Promoting sustainable fisheries and restoring and conserving aquatic biological resources,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.mpsr.sk/sk/podpory-vyzvy/257,"Martin Majerech, Ing.
Telefón: 59266-278",0,0,0,0,0,0
SK_Interreg VI Slovensko-Česko,Go To SK_Interreg VI Slovensko-Česko,Interreg Slovensko-Česko,https://www.sk-cz.eu/,"Slovakia, Czechia",0,"SK021 Trnavský kraj, SK022 Trenčiansky kraj, SK031 Žilinský kraj, CZ064 Juhomoravský kraj, CZ072 Zlínsky kraj, CZ080 Moravskosliezsky kraj",0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,up to 80 %,NOT SPECIFIED,0,NOT SPECIFIED,NOT SPECIFIED,0,0,national language,,"The main objective of the programme is to promote sustainable cross-border cooperation and thus help to improve economic, social and territorial integration in the programme area. The programme supports projects that will improve the quality of life in the Slovak-Czech border area. In the environment section, the main objective is to support adaptation to climate change and disaster risk prevention, as well as resilience while taking into account ecosystem approaches.",0,Ministry of Agriculture and Rural Development of the Slovak Republic,,1,Environment,"Promoting climate change adaptation and disaster risk prevention as well as resilience, and
taking into account ecosystem approaches",0,0,0,0,0,0,0,0,0,0,0,0,,https://www.sk-cz.eu/vyzvy1/,"Mgr. Peter Takáč
Programme Manager of the Interreg V-A SK-CZ Cooperation Programme
Tel.: +421 2 2092 8757
E-mail: peter.takac@mirri.gov.sk",0,0,0,0,0,0
EE KIK Environmental Programme,Go To EE KIK Environmental Programme,Environmental Programme,https://kik.ee/en/toetatavad-tegevused,Estonia,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,50-100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Main objectives of the programme are:                                                                                                                                                                                                                                         - to reduce environmental nuisances to the maximum extent possible in order to protect the environment, human health, well-being, property and cultural heritage;
- to promote sustainable development in order to secure an environment that meets the human health and well-being needs of the present generation and future generations;
- to preserve and protecti natural diversity;
- the good state of the environment;
- the prevention of damage to the environment and the remedying of damage caused to the environment.",0,"Ministry of Climate, Environmental Investment Centre",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://kik.ee/et/toetatavad-tegevused?search_terms=&field_grant_funding%5B%5D=488&search_terms=&search_terms=&search_terms=&keys=,0,0,0,0,0,0,0
EE KIK,Go To EE KIK,Environmental Investment Centre (KIK),https://kik.ee/en/toetatavad-tegevused,Estonia,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,50-100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The aim is climate change adaptation, risk prevention and disaster management and to increase biodiversity, green infrastructure in urban areas and reduce pollution.",0,"Ministry of Climate, Ministry of the Interior, Ministry of Social Affairs, Environmental Investment Centre, ",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://kik.ee/et/toetatavad-tegevused?search_terms=&field_grant_funding%5B%5D=490&field_grant_funding%5B%5D=489&field_grant_funding%5B%5D=550&field_grant_funding%5B%5D=491&field_grant_funding%5B%5D=494&field_grant_funding%5B%5D=496&field_grant_funding%5B%5D=549&search_terms=&search_terms=&search_terms=&keys=,0,0,0,0,0,0,0
EE RTK,Go To EE RTK,The State Shared Service Cente (RTK) ,https://www.rtk.ee/toetusfondid-ja-programmid/euroopa-liidu-valisvahendid/2021-2027-toetusperiood,Estonia,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,70-100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"RTK is responsible for a range of support measures. From support for the development of a sustainable light transport network to support for local community initiatives, e.g. contributing to the growth of knowledge and skills of community members, the strengthening of community identity and the development of more effective cooperation. ",0,"Republic of Estonia Government Office, Ministry of Social Affairs, Ministry of Climate, Ministry of Regional Affairs and Agriculture",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.rtk.ee/toetuste-taotlemine-ja-korraldamine/valdkonnad-ja-meetmed/regionaalareng,0,0,0,0,0,0,0
EE EIS,Go To EE EIS,Estonian Business and Innovation Agency (EIS),https://www.kredex.ee/et,Estonia,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,0-60% (support rates vary between regions),0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,Objective - to increase environmental conservation via improving living conditions. To increase the energy efficiency and climate resilience of buildings and support the improvement of living conditions and the digital development of buildings undergoing renovation. ,0,Ministry of Economic Affairs and Communication,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.kredex.ee/en/teenused/ku-ja-kov/laen-kaendus-ja-toetus,0,0,0,0,0,0,0
EE PRIA,Go To EE PRIA,Agricultural Registers and Information Board (PRIA),https://www.pria.ee/en,Estonia,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,is determined on a per-unit basis (e.g. per hectare in the case of semi-natural communities).,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The aim is to contribute to the development of the agricultural sector and rural development as a whole through knowledge-based support to protect the environment, increase our customers' technological capacity, economic efficiency and competitivenes.",0,"Ministry of Regional Affairs and Agriculture, Agriculture Registers and Information Board",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.pria.ee/toetused,0,0,0,0,0,0,0
