Id,Language,Signatory,Climate_Action_Plan_Id,Type,Description,Approval_Year,End_Year,Name_Of_Plan_And_Hyperlink,Attachment,Order,Sectors_Introduction,Year_Of_Approval_Label,End_Year_Of_Plan_Label,Further_Information_Link_Text,Explore_Plan_Link_Text
60183,en,City of Rzeszów,2,Integrated climate plan (addressing mitigation and energy),NULL,NULL,NULL,https://bip.erzeszow.pl/static/img/k02/SR/SR/Plan%20Gospodarki%20Niskoemisyjnej%20dla%20miasta%20Rzeszowa.pdf\n,Tallinna_kliimakava_ENG_2021.pdf,2,The City of Rzeszów possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Rzeszów's Integrated climate plan (addressing mitigation and energy),Explore City of Rzeszów's Climate Action Plan
60183,en,City of Rzeszów,3,Integrated climate plan (addressing adaptation and energy),NULL,NULL,NULL,https://bip.erzeszow.pl/static/img/k02/BAS/ochrona_srodowiska/niska_emisja/Aktualizacja%20PONE%2028.01.2020%20r..pdf,NULL,3,The City of Rzeszów possesses an Integrated climate plan (addressing adaptation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Rzeszów's Integrated climate plan (addressing adaptation and energy),Explore City of Rzeszów's Climate Action Plan
60183,en,City of Rzeszów,4,Standalone adaptation plan,NULL,NULL,NULL,https://bip.erzeszow.pl/pl/338-ochrona-srodowiska/4787-plan-adaptacji-do-zmian-klimatu-miasta-rzeszowa.html#tresc,climate_neutral_tampere_roadmap_0.pdf,4,The City of Rzeszów possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Rzeszów's Standalone adaptation plan,Explore City of Rzeszów's Climate Action Plan
60183,en,City of Rzeszów,5,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",NULL,NULL,NULL,https://bip.erzeszow.pl/static/img/k02/ORA/ma%C5%82gosia/2021/og%C5%82oszenia/Plan_transportowy_2021-2030.pdf,TartuEnergy2030.pdf,5,"The City of Rzeszów possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Rzeszów's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Rzeszów's Climate Action Plan
36152,en,City of Tallinn,1,Integrated climate plan (addressing mitigation and adaptation),NULL,NULL,NULL,Talinn Sustainable Energy and Climate Action Plan,NULL,1,The City of Tallinn possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Tallinn's Integrated climate plan (addressing mitigation and adaptation),Explore City of Tallinn's Climate Action Plan
36152,en,City of Tallinn,2,Integrated climate plan (addressing mitigation and adaptation),Climate-neutral Tallinn has set goals for both climate change mitigation and adaptation:⚫ To reduce greenhouse gas emissions (hereinafter referred to as GHG) by 40% by the year 2030 and to work towards climate neutrality⚫ To plan actions to better adapt to the changes and risks posed by climate change,2021,2030,Climate-neutral Tallinn. Tallinn Sustainable Energy and Climate Action Plan 2030' (Climate-neutral Tallinn). https://www.tallinn.ee/et/media/309750,strategia_2030_EN.pdf,2,The City of Tallinn possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Tallinn's Integrated climate plan (addressing mitigation and adaptation),Explore City of Tallinn's Climate Action Plan
54403,en,City of Tampere,1,Integrated climate plan (addressing mitigation and adaptation),"When setting the climate neutrality target, we have been aware of the Paris agreement emission scenarios and have set a stricter target than the national one. This comparison is basically qualitative in nature, since no detailed calculations have been made. While making Tampere's SECAP and this roadmap, we have made scenarios of each sector and it's climate emissions in the city with current developments and with roadmap actions included. These scenarios are quantitative and extremely detailed.",2022,2030,"Climate neutral Tampere 2030 Roadmap, https://www.tampere.fi/sites/default/files/2023-04/climate_neutral_tampere_roadmap_0.pdf",Zielona Wizja Warszawy - wersja ENG.pdf,1,The City of Tampere possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Tampere's Integrated climate plan (addressing mitigation and adaptation),Explore City of Tampere's Climate Action Plan
60126,en,City of Tartu,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",NULL,2021,2030,Tartu Energy 2030 https://tartu.ee/sites/default/files/uploads/Linnavarad/SECAP/TartuEnergy2030.pdf,12. Plan Gospodarki Niskoemisyjnej dla m.st. Warszawy (PGN).pdf,1,"The City of Tartu possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Tartu's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Tartu's Climate Action Plan
50154,en,City of Turku,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","The City of Turku climate plan implements climate policy that adheres to the Paris Climate Change Agreement, aiming to limit global warming to a maximum of 1.5 degrees compared to the pre-industrial era. The climate work of Turku reinforces circular economy and advances the goals of sustainable development of the United Nations. Turku is an active climate operator as part of local, national, European and international climate collaboration between cities, areas, countries and civil societies.",2022,2029,https://issuu.com/turunviestinta/docs/turku_climate_plan_2029,14702021_program_ochrony_srodowiska_warszawa_20212.pdf,1,"The City of Turku possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on City of Turku's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore City of Turku's Climate Action Plan
31185,en,City of Warsaw,1,Standalone adaptation plan,"Climate change adaptation strategy for Warsaw is a document defining the city's policy aimed at preparing and adapting Warsaw to progressive climate change, constituting the policy of Warsaw in terms of taking action to prevent and mitigate the negative effects of climate change. The document describes the key threats resulting from climate change and the associated risk areas for Warsaw and its residents, as well as indicates courses of action through which the City will protect itself against the negative effects of climate change-related phenomena. Climate change adaptation strategy for Warsaw was prepared on the basis of an analysis of a large amount of data, carried out by researchers from the University of Warsaw's Department of Geography and Regional Studies with the assistance of the UW's Interdisciplinary Center for Mathematical Modeling. The city is currently preparing for an evaluation process concerning the document, which will result in making proper adjustments, developing implementation programmes, and creating a monitoring system.",2019,2050,THE CLIMATE CHANGE ADAPTATION STRATEGY\nFOR THE CITY OF WARSAW BY 2030 WITH THE\nPROSPECTS UNTIL 2050 https://eko.um.warszawa.pl/documents/63448/85193582/strategia_2030_EN.pdf/34ebe348-a103-d1fa-083f-0bdabe772471?t=1692353598957,SECAP.pdf,1,The City of Warsaw possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Warsaw's Standalone adaptation plan,Explore City of Warsaw's Climate Action Plan
31185,en,City of Warsaw,3,Integrated climate plan (addressing mitigation and adaptation),"Green Vision for Warsaw (GCCAP - Green Cities and Climate Action Plan) is an action plan, in the style of a comprehensive \'road map\' for a green city and climate. The Green Vision for Warsaw supports implementing climate and greenhouse gas reduction targets contained in other strategic documents of the city. The study establishes new climate targets for Warsaw. It guides the city's development, while pointing to specific measures whose implementation will bring it closer to achieving climate neutrality. It combines two methodologies used around the world: the Green City Action Plan, developed by the European Bank for Reconstruction and Development, and the Climate Action Plan, developed by the C40 Cities Climate Leadership Group. Combining these two methodologies allowed producing a document that is comprehensively based on verified data. Creating the Green Vision of Warsaw was preceded by a thorough analysis of the state of the city (based on 122 indicators) in terms of the pressures exerted by various areas of the city's functioning on the environment and climate, the state of the natural environment and the city's responses to environmental and climate risks to date. \nIn June-August 2024, the first monitoring of the Green Vision for Warsaw (GCCAP) was performed, which was sent to the EBRD for verification. The report still contains data gaps, which will be filled in the near future",2023,2050,Warsaw Green City and Climate Action Plan (Green Vision of Warszaw) https://eko.um.warszawa.pl/documents/63448/85193582/Zielona+Wizja+Warszawy+-+wersja+ENG.pdf/c2fa75f0-b941-92d3-774d-a980e0aa0abd?t=1692353339298,klimaplan-2025-revideret-tillg-til-roadmap-2021-2025-_2617.pdf,3,The City of Warsaw possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Warsaw's Integrated climate plan (addressing mitigation and adaptation),Explore City of Warsaw's Climate Action Plan
31185,en,City of Warsaw,5,Integrated climate plan (addressing mitigation and adaptation),"Environmental Protection Programme - is an executive document for the #Warsaw 2030 Strategy (relating to operational objective: 3.2. We live in a clean natural environment), containing a diagnosis of the environment's state, operational objectives, a description of the areas of intervention and the actions that the city must take to protect the environment (its quality, functions), including climate protection. Work is currently underway concerning a new programme up to 2030.\nThe city also includes, or is in the process of developing, documents that are strongly linked to climate policy in their area of influence.\n",2021,2024,Environmental Protection Programme for the City of Warsaw for 2021-2024 https://um.warszawa.pl/waw/strategia/2021-2024,cph-2025-climate-plan-roadmap-2021-2025-_2062.pdf,5,The City of Warsaw possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Warsaw's Integrated climate plan (addressing mitigation and adaptation),Explore City of Warsaw's Climate Action Plan
43921,en,City of Zagreb,1,Integrated climate plan (addressing mitigation and adaptation),NULL,2019,2030,NULL,cph-2025-climateplan-_983.pdf,1,The City of Zagreb possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on City of Zagreb's Integrated climate plan (addressing mitigation and adaptation),Explore City of Zagreb's Climate Action Plan
31009,en,Copenhagen Municipality,1,Integrated climate plan (addressing mitigation and energy),This is a supplement to the Roadmap implementing the overall climate plan for the period 2021-2025. Plan is based on scenarios showing how emissions are expected to evolve and realistic options to reduce emissions,2021,2025,https://kk.sites.itera.dk/apps/kk_pub2/index.asp?mode=detalje&id=2617,Cloudburst Management plan 2010.pdf,1,The Copenhagen Municipality possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Copenhagen Municipality's Integrated climate plan (addressing mitigation and energy),Explore Copenhagen Municipality's Climate Action Plan
31009,en,Copenhagen Municipality,2,Integrated climate plan (addressing mitigation and energy),This is a Roadmap implementing the overall climate plan for the period 2021-2025. Plan is based on scenarios showing how emissions are expected to evolve and realistic options to reduce emissions,2020,2025,https://kk.sites.itera.dk/apps/kk_pub2/index.asp?mode=detalje&id=2062,storm-surge-plan-for-copenhagen-2017-_1915 (1).pdf,2,The Copenhagen Municipality possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Copenhagen Municipality's Integrated climate plan (addressing mitigation and energy),Explore Copenhagen Municipality's Climate Action Plan
31009,en,Copenhagen Municipality,3,Integrated climate plan (addressing mitigation and energy),This is the overall climate plan. Plan is based on scenarios showing how emissions are expected to evolve and realistic options to reduce emissions,2012,2025,http://kk.sites.itera.dk/apps/kk_pub2/index.asp?mode=detalje&id=983,Copenhagen Climate Adaptation Plan - 2011.pdf,3,The Copenhagen Municipality possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Copenhagen Municipality's Integrated climate plan (addressing mitigation and energy),Explore Copenhagen Municipality's Climate Action Plan
31009,en,Copenhagen Municipality,4,Standalone adaptation plan,"Strategic cloud burst management plan. The cloudburst plan has been prepared on the basis of the City of Copenhagen's climate adaptation plan from 2010. The climate adaptation plan has been prepared on the basis of IPCC emissions scenario A2, which has been scaled down to local level and assumes a temperature increase of 2-3 degrees in 2100.",2012,2100,https://international.kk.dk/sites/default/files/2021-09/Cloudburst%20Management%20plan%202010.pdf,Risikostyringsplan.pdf,4,The Copenhagen Municipality possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Copenhagen Municipality's Standalone adaptation plan,Explore Copenhagen Municipality's Climate Action Plan
31009,en,Copenhagen Municipality,5,Standalone adaptation plan,"Storm surge plan. The plan has been prepared on the basis of the City of Copenhagen's climate adaptation plan from 2010. The climate adaptation plan has been prepared on the basis of IPCC emissions scenario A2, which has been scaled down to local level and assumes a temperature increase of 2-3 degrees in 2100.",2017,2100,https://kk.sites.itera.dk/apps/kk_pub2/pdf/1915_80b7f06dd0f1.pdf,Galway City Energy Masterplan - Issue 17022023 (002).pdf,5,The Copenhagen Municipality possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Copenhagen Municipality's Standalone adaptation plan,Explore Copenhagen Municipality's Climate Action Plan
31009,en,Copenhagen Municipality,6,Standalone adaptation plan,"The climate adaptation plan has been prepared on the basis of IPCC emissions scenario A2, which has been scaled down to local level and assumes a temperature increase of 2-3 degrees in 2100. The plan describes the risk of flooding and financial losses due to flooding from rain and storm surge. In addition, it also touches upon the risk of Urban Heat Island effects and increasing temperatures in a changing world. The plan is further developed and elaborated on in a seperate cloudburst plan and a storm surge plan that describe in more detail the challenges and proposals for solutions, including socio-economic calculations and service goals. New risk assessments are continuously prepared in connection with the preparation of master plans for the implementation of the cloudburst plan.",2011,2100,https://international.kk.dk/sites/default/files/2021-09/Copenhagen%20Climate%20Adaptation%20Plan%20-%202011.pdf,Istanbul_climate_change_action_plan_v03.pdf,6,The Copenhagen Municipality possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Copenhagen Municipality's Standalone adaptation plan,Explore Copenhagen Municipality's Climate Action Plan
31009,en,Copenhagen Municipality,7,Standalone adaptation plan,"The risk management plan was updated based on a revised national assessment of the risk of flood, where the designated risk area for Copenhagen was greatly expanded in 2018. This means a major change in the danger and risk situation for the city and lead to an expanded plan. The revised national assessment builds on updated information from IPCC reports as well as better modelling.",2021,2100,https://www.kk.dk/sites/default/files/agenda/1e989a09-2799-4d24-9a78-01681700ac3a/cb79c6ba-c807-4a44-b95a-6efcad9200ca-bilag-1_0.pdf,"ENG-SECAP-v04.pdf,Istanbul_climate_change_action_plan_v03.pdf",7,The Copenhagen Municipality possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Copenhagen Municipality's Standalone adaptation plan,Explore Copenhagen Municipality's Climate Action Plan
62868,en,Eskişehir Metropolitan Municipality,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",We have commitment to reduce greenhouse gas emissions %55 by 2030.,2024,2030,https://eskisehir.bel.tr/dosyalar/icerik/secap-en.pdf,NULL,1,"The Eskişehir Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Eskişehir Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Eskişehir Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Climate scenarios in line with the C40 Pathways Model were used in the Istanbul Climate Change Action Plan. The climate scenarios used are RCP 2.6, RCP 4.5, RCP 6 and RCP 8.5. While climate scenarios are the most important basis for determining targets, strategies and actions in terms of reducing greenhouse gas emissions and adapting to climate change; they also exposed future climate hazards.",2021,2026,https://cevre.ibb.istanbul/wp-content/uploads/2022/06/istanbul_climate_change_action_plan_v03.pdf,IMM Waste Management Plan- 2023-2027.pdf,1,"The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Istanbul Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,2,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","The SECAP document comprises of six sub-reports which were developed as per sub-working group outputs and combined to form the full SECAP report. These sub-reports are namely Baseline Emission Inventory, Risk and Vulnerability Analysis, Buildings, Transport, and Waste/Waste Water Sectors, and Scenarios.",2024,2029,https://cevre.ibb.istanbul/wp-content/uploads/2024/04/ENG-SECAP-v04.pdf,IMM-MEDICAL WASTE MANAGEMENT PLAN-2023-2027.pdf,2,"The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Istanbul Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,3,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","We have completed the Istanbul Sustainable Energy and Climate Action Plan (Istanbul SECAP), which we had been working on since 2021.\n\nWe have made great progress and held workshops in the Istanbul Green City Action Plan launched in November 2023 with the participation of the Mayor Mr. Ekrem İmamoğlu. \n\nThe following important studies were carried out within the scope of climate-related scenarios:\n\nBy the end of 2023, the number of renewable energy facilities installed was 87, equivalent to 15,460.6 kWp. In addition, construction works are underway for a SPP with a total installed capacity of approximately 4000 kWp in 2024. \n\nThe water loss and leakage rate is 18.94%, down from 22.32% in 2019, thanks to ISKI's intensive efforts. \n\nIn 2023, we disposed of approximately 15 thousand tons of waste daily throughout Istanbul. On an annual basis, approximately 1.8 million of our waste was recycled in recycling facilities. We continue to rapidly increase our recycling rate of 28%.",2024,2025,https://cevre.ibb.istanbul/wp-content/uploads/2024/10/2023-Climate-Change-Monitoring-Report-SON-VERSIYON.pdf,SUMP-REPORT-rs.pdf,3,"The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Istanbul Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,4,Integrated climate plan (addressing mitigation and energy),"According to the Waste Management Plan published in 2023, we aim to gradually increase the energy recovery facility capacities until 2050. According to the Istanbul Scenario that we prepared within the scope of the Waste Management Plan, we aim to increase the waste-to-energy production capacity, which is 213 MWh in 2023, to 265 MWh in 2030 and 395 MWh in 2050.",2023,NULL,https://cevre.ibb.istanbul/wp-content/uploads/2023/10/2050-Karbon-Notr-atik_yonetim_plani_16.10.2023-2.pdf,NULL,4,The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation and energy),Explore Istanbul Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,6,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Istanbul SUMP's 2040 vision, determined through a participatory process, is defined as \'an innovative and inclusive transportation system that is human and environment-oriented, offering a mixed structure of safe, integrated, accessible and affordable mobility options that are compatible with Istanbul's unique geography and historical values ​​for a sustainable and resilient future.\'. One of the main themes on the way to this vision has been determined as “Low Carbon Transition” and priority projects have been defined under this theme.",2022,2027,https://surdurulebilirulasim.istanbul/wp-content/uploads/2022/12/SUMP-REPORT-rs.pdf,NULL,6,"The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Istanbul Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,7,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","In line with the 2030 net-zero target of IMM, short-term scenarios are defined and specific investment plans for each action within this framework are examined.",2024,2030,NULL,2023 Sustainability Report of Spor Istanbul.pdf,7,"The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Istanbul Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,8,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","To address these issues, Istanbul joined the Green Cities Programme of the European Bank for Reconstruction and Development (EBRD) in 2021. This initiative aims to identify and prioritize cities' environmental concerns while facilitating infrastructure investments and policy measures for transition of urban areas to sustainable cities. The programme supports Istanbul's broader strategy, which includes commitments to initiatives like the NetZeroCities and C40 Cities. The alignment of the Green Cities Programme with Istanbul's sustainability goals strengthens its comprehensive approach to reducing GHG emissions, enhancing public transport, increasing energy efficiency, and improving water and waste management. By being part of this programme, Istanbul will leverage resources and expertise to align with its long-term commitments to sustainable growth, positioning itself among global megacities striving for a greener future.",2023,2028,NULL,klaipedos-miesto-savivaldybes-prisitaikymo-prie-klimato-kaitos-planas.pdf,8,"The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Istanbul Metropolitan Municipality's Climate Action Plan
31163,en,Istanbul Metropolitan Municipality,9,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",NULL,2023,2024,https://spor.istanbul/wp-content/uploads/2024/05/SporIstanbul_SR30052024_.pdf,NULL,9,"The Istanbul Metropolitan Municipality possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Istanbul Metropolitan Municipality's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Istanbul Metropolitan Municipality's Climate Action Plan
60125,en,Klaipėda City Municipality,1,Standalone adaptation plan,"In 2023, Klaipėda City Municipality prepared a report on climate change adaptation. This report led to the development of a Climate Change Adaptation Plan that outlines specific measures",2024,2030,Klaipėda City Municipality Climate Change Adaptation Plan,3-PCAET-Programme actions.pdf,1,The Klaipėda City Municipality possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Klaipėda City Municipality's Standalone adaptation plan,Explore Klaipėda City Municipality's Climate Action Plan
74723,en,Lesser Poland Voivodeship,1,Integrated climate plan (addressing mitigation and adaptation),-,2020,NULL,Regional Action Plan for Climate and Energy for the Malopolska Region,"pmac-braga_summaryen.pdf,pmac-braga_summaryen.pdf,pmac-braga_volume-ien-2.pdf,pmac-braga_volume-ien-2.pdf,pmac-braga_volume-iien.pdf",1,The Lesser Poland Voivodeship possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Lesser Poland Voivodeship's Integrated climate plan (addressing mitigation and adaptation),Explore Lesser Poland Voivodeship's Climate Action Plan
826425,en,Municipality of Caldas da Rainha,1,Standalone adaptation plan,NULL,2023,2100,https://api.oestecim.pt/uploads/1/1/2.%20PMAAC%20Caldas%20da%20Rainha.pdf,rnc2050-cascais.v2.cleaned.pdf,1,The Municipality of Caldas da Rainha possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Municipality of Caldas da Rainha's Standalone adaptation plan,Explore Municipality of Caldas da Rainha's Climate Action Plan
50680,en,Municipality of Cascais,1,Integrated climate plan (addressing mitigation and energy),NULL,2023,2030,"The climate change mitigation plan: Cascais Pelo Clima takes this challenge of leadership in climate policies in Portugal in the sectors of energy efficiency, mobility, renewable energy, waste and water, to a set of actions to be developed by Cascais Municipality and the whole of civil society.",11_12_estudos_sectoriais_adaptacao.pdf,1,The Municipality of Cascais possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Municipality of Cascais's Integrated climate plan (addressing mitigation and energy),Explore Municipality of Cascais's Climate Action Plan
62171,en,Metropolitan Municipality of Rouen,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Les objectifs du PCAET en matière de réduction des émissions de gaz à effet de serre (GES), ainsi que les choix énergétiques, s'appuient sur les engagements internationaux, nationaux, et régionaux des stratégies climat. En 2030, l'objectif fixé à l'échelle européenne est passé à -55% de réduction des émissions de gaz à effet de serre. Les engagements pris par la France lors de la COP21 de Paris en 2015 se traduisent par les textes suivants :- La loi n° 2015-992 du 17 août 2015 relative à la transition énergétique pour la croissance verte (TEpCV) et sa déclinaison opérationnelle dans la Programmation Pluriannuelle de l'Energie (PPE). Cette loi s'aligne avec les objectifs européens et vise notamment à faire passer à 32 % au moins la part de l'énergie issue de sources renouvelables et améliorer d'au moins 32,5% l'efficacité énergétique en 2030.- La Stratégie Nationale Bas Carbone (SNBC)- Le Plan National d'Adaptation aux Changements Climatiques (PNACC),- Le Plan d'action de lutte contre la pollution atmosphérique via le Plan national de réduction des émissions de polluants atmosphériques (PREPA).- Le Plan pour la Rénovation Énergétique des BâtimentsLe PCAET de la Métropole doit aussi être réglementairement compatible avec le Schéma Régional d'Aménagement, de Développement Durable et d'Égalité des territoires (SRADDET) de la région Normandie qui vise une réduction des émissions des gaz à effet de serre de 75% en 2050 par rapport à 1990, une baisse de la consommation énergétique de 20% en 2030, et 50% en 2050 par rapport à 2010, ainsi qu'une augmentation de la part des énergies renouvelables dans la consommation, pour atteindre 23 % en 2020 et 32% en 2030.",2019,2025,http://www.notrecop21.fr/sites/default/files/3-PCAET-Programme%20actions.pdf,PMAAC_Caldas da Rainha_RelFase2.pdf,1,"The Metropolitan Municipality of Rouen possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Metropolitan Municipality of Rouen's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Metropolitan Municipality of Rouen's Climate Action Plan
