Signatory,Id,Describe,Provide
Portugal,55324,"Para garantir um futuro seguro para os cidadãos, Guimarães e os seus parceiros têm adoptado ações que beneficiam a qualidade de vida, a saúde, a equidade, a economia e a segurança de todos. Existem vários exemplos de medidas bem-sucedidas para redução da poluição do ar e consequente melhoria da qualidade do ar. São exemplos que também se traduzem na melhoria da biodiversidade: - Annual Action Plan for Zero Footprint Mobility (students)- Controlo da Zona de Baixa Emissão: Urbana e Verde- Inclusão do projeto Limp.AR na CITY measure platform- Plano de Ação Anual para Mobilidade Pegada Zero (estudantes)- Adesão ao protocolo tocol com a Agência Portuguesa do Ambiente para um país com boa qualidade do ar- Guimarães SUMP- Brigadas Verdes- Guimarães mais Floresta- Expansão de espaços verdes - Plano de ação da biodiversidade- EUROCITIES' Green Aeas and Biodiversity Working Group- URBACT - Cidade de boas práticas - Arranque da estratégia de promoção da biodiversidade- Promover corredores verdes e azuis: Corredor Biocultural; Corredor Verde Veiga; Corredores verdes ao longo dos rios Ave, Selho e Vizela- Green City Accord - Clean and Healthy Cities for Europe- Mobilidade sustentável - Plano de Mobilidade Sustentável (PMUS); concessão do transporte público sustentável; Instalação de pontos de carregamento de veículos elétricos e a construção de uma ECO Pathway, acompanhados por um sistema de gestão integrado.Para além disso, estas medidas traduzem-se em benefícios para a saúde pública da população.Destacamos a criação do Laboratório da Paisagem (LP) no contexto da criação de empregos verdes, atuando numa base multidisciplinar (Biodiversidade, Áreas Verdes, Recursos Hídricos, Economia Circular e Paisagem), apoiando o município em todas as decisões. Ao longo dos anos, a LP criou um ambiente que estimula o verde empregos e crescimento verde (orçamento anual aumentado de 75 mil euros para 1 milhão de euros).Ações relacionadas com a redução de riscos naturais, traduz-se em benefícios para a saúde pública da população, nemeadamente por reduzir a contaminação da água:- Bacia de Retenção das Hortas (Zero inundações) e sistema de alerta em tempo real- Delimitação das novas zonas ameaçadas pelas cheias com base nas Orientações Estratégicas de Âmbito Nacional e Regional - instrumento de planeamento que permitirá antecipar as reações do território face a situação de cheia.Guimarães é também proativo no reaproveitamento da água e eficiência hídrica, reduzindo os custos e aumentandp a segurança da água:- Guimarães lidera uma rede nacional para a circularidade da água- Projeto piloto: São as águas sujas das piscinas municipais que lavam as ruas da cidade de Guimarães- Substituição de relvados por prados de sequeiro, onde inexiste a necessidade de rega- Guimarães promove campanha para uso sustentável da água- a antecipação da deteção de fugas e a redução significativa das perdas - o melhor planeamento das intervenções de reparação- a redução do consumo de energia, uso de reagentes e emissões de CO2 associadas, com a consequente diminuição da pegada ecológica.Estratégias para redução de resíduos, separação de resíduos, reciclagem e reutilização ou gestão de resíduos biológicos, são alternativas viáveis ​​e de baixo custo para a incineração aberta de resíduos sólidos e permitem a valorização energética de resíduos:- Zero Waste municipality- PAYT system- RRRCICLO- Guimarães tem vindo a regenerar sítios contaminadosVárias são as iniciativas e ações que promovem a Neutralidade Climática, destacando-se:Uma transição verde bem sucedida, colocando os cidação no centro, trará benefícios económicos, sociais e ambientais significativos - redução das emissões de GEE, redução da poluição atmosférica e sonora e os seus impactes negativos na nossa saúde e promoção da inovação:- Net Zero Cities- Bairro C: Compromisso Carbono Zero- EU Mission - Climate Neutral and Smart Cities- Iluminação pública de LEDVárias ações promovem aumento do uso sustentável da terra e do confort","PEGADAS - Programa educativo universal, equitativo e inclusivo; relatório ODS; Índice de Sustentabilidade Municipal; relatório do Acordo Cidade Verde Estratégia Municipal de Adaptação às Alerações Climáticas - De forma a promover uma abordagem estruturada e consistente na avaliação entre opções alternativas, foi aplicada uma análise multicritério utilizando um conjunto alargado de critérios de avaliação. Entre outros critérios, as opções identificadas foram avaliadas numa escala de 1 (baixa) a 5 (alta) relativamente à Equidade: a ação afeta beneficamente outras áreas ou grupos vulneráveis? No critério equidade realça-se a opção [16] Elaborar o Plano de Desenvolvimento Sustentável (com um valor de 4,56). O tema da sustentabilidade está indissociavelmente ligado à equidade e às estratégias locais de desenvolvimento sustentável, com implicações na qualidade de vida dos cidadãos. Estas deverão ser analisadas de forma transversal aos diferentes domínios e agentes/grupos sociais envolvidos, fazendo convergir os critérios de igualdade e preservação ambiental."
Portugal,55334,"Ao avaliar as ações climáticas, o Município identificou várias oportunidades e benefícios que se desdobram em diferentes áreas, conforme descrito a seguir.\nA ação climática em Braga oferece oportunidades significativas para o crescimento económico local. Investimentos em tecnologias limpas, como energias renováveis e eficiência energética, não apenas reduzem os custos operacionais para as empresas, mas também criam novos empregos e setores económicos. A promoção de indústrias verdes e a modernização de infraestruturas podem impulsionar a competitividade local, atraindo investidores e estimulando a inovação. Além disso, iniciativas que visam a transição para a mobilidade elétrica e a construção sustentável podem resultar em economias substanciais no consumo de energia e na dependência de combustíveis fósseis.\nUma das principais vantagens da ação climática é a melhoria da qualidade do ar. A redução das emissões de gases poluentes, através de políticas de mobilidade sustentável e da promoção de transportes públicos, tem um impacto direto na saúde pública. A diminuição da poluição do ar contribui para a redução de doenças respiratórias e cardiovasculares, resultando em menos custos para o sistema de saúde e um aumento da produtividade. Assim, as iniciativas climáticas não apenas promovem a saúde ambiental, mas também beneficiam o bem-estar geral da população.\nAs ações climáticas promovem a construção de comunidades mais resilientes. Ao implementar infraestruturas verdes, como parques, telhados verdes e sistemas de drenagem sustentável, Braga não só mitiga os efeitos das alterações climáticas, mas também melhora a sua capacidade de resposta a eventos climáticos extremos, como inundações e ondas de calor. Essa resiliência tem impactos positivos na segurança da comunidade, na proteção de bens e na minimização de perdas económicas durante crises climáticas.\nA ação climática também promove a coesão social e a inclusão. Projetos que envolvem a participação da comunidade e a colaboração entre diferentes setores podem fortalecer os laços sociais e aumentar a conscientização sobre questões ambientais. A promoção de iniciativas de mobilidade sustentável e de eficiência energética, com enfoque em grupos vulneráveis, garante que todas as camadas da sociedade se beneficiem das ações climáticas. Este enfoque inclusivo é essencial para criar uma cidade equitativa, onde todos têm acesso às oportunidades de desenvolvimento sustentável.\nBraga possui um rico património natural e cultural que pode ser valorizado através de ações climáticas. A proteção e a recuperação de ecossistemas locais, como zonas húmidas e áreas verdes, não só preservam a biodiversidade, mas também enriquecem o ambiente urbano, tornando a cidade mais atrativa para residentes e visitantes. Além disso, a promoção do turismo sustentável, centrado em experiências que valorizem o património natural e cultural, pode gerar receitas adicionais para a economia local.\nAs iniciativas climáticas oferecem uma oportunidade valiosa para a educação e a sensibilização ambiental. Programas de educação nas escolas e nas comunidades, focados em práticas sustentáveis e na importância da ação climática, ajudam a formar cidadãos mais conscientes e proativos. Ao promover uma cultura de sustentabilidade, o Município pode inspirar uma nova geração a tomar decisões informadas que beneficiem tanto o ambiente quanto a sociedade.\nA ação climática também pode estimular a inovação e a pesquisa. Braga tem a oportunidade de se tornar um laboratório vivo para tecnologias sustentáveis e soluções inovadoras. A colaboração com universidades, centros de pesquisa e empresas pode resultar em desenvolvimentos tecnológicos que não apenas beneficiam a cidade, mas também contribuem para o conhecimento global sobre práticas climáticas eficazes. A promoção de parcerias entre academia e setor privado pode acelerar a adoção de tecnologias limpas e soluções criativas para desafios urbanos.\n","O Município de Braga tem implementado várias ações concretas para assegurar a distribuição igualitária e inclusiva dos benefícios da ação climática. Essas iniciativas são projetadas para atender às necessidades de todos os segmentos da população, especialmente os grupos mais vulneráveis. Abaixo estão algumas evidências e detalhes dessas ações:\n1. Programas de Educação e Sensibilização Ambiental\nBraga desenvolve programas de educação ambiental nas escolas, com o objetivo de sensibilizar os jovens sobre as questões climáticas e a importância da sustentabilidade. Esses programas incluem atividades práticas, como oficinas de jardinagem e reciclagem, permitindo que crianças e adolescentes se tornem agentes ativos na promoção de práticas sustentáveis em suas comunidades. Um exemplo disto são as atividades desenvolvidas na Quinta Pedagógica de Braga e no seu recente Centro de Educação Ambiental onde mais de 100 atividades de educação às alterações climáticas pelas escolas do concelho. \n2. Incentivos Financeiros para Eficiência Energética\nO Município lançou iniciativas de apoio financeiro para a implementação de soluções de eficiência energética, como a instalação de painéis solares em habitações de baixo rendimento. Este programa oferece subsídios e condições favoráveis de financiamento, garantindo que famílias de todas as condições socioeconómicas possam beneficiar da transição para energias renováveis e reduzir seus custos energéticos. O Programa Municipal de Combate à Pobreza Energética de Braga que pretende oferecer obras de renovação de eficneica energética a famailais desfavorecidas é um exemplo disso. \n3. Acessibilidade à Mobilidade Sustentável\nBraga está a investir na expansão da rede de transportes públicos acessíveis e na promoção de alternativas de mobilidade sustentável, como a implementação de ciclovias e sistemas de partilha de bicicletas. A cidade desenvolveu um programa de bilhetes sociais que oferece tarifas reduzidas para cidadãos de baixa renda, garantindo que a mobilidade sustentável seja uma opção viável para todos. \n4. Projetos de Inclusão Social em Ações Climáticas\nO Município tem promovido projetos que combinam ação climática e inclusão social, como a criação de hortas comunitárias em áreas urbanas desfavorecidas. Esses espaços não apenas promovem a agricultura urbana e a biodiversidade, mas também criam oportunidades para a comunidade se envolver em práticas sustentáveis e fortalecer os laços sociais.\n5. Consulta e Participação da Comunidade\nO Município organiza consultas públicas e workshops para envolver os cidadãos na elaboração de políticas climáticas. Este processo garante que as preocupações e sugestões de todos os grupos, incluindo os mais vulneráveis, sejam consideradas nas decisões sobre investimentos em infraestrutura e projetos ambientais. O Pacto de Mobilidade Empresarial de Braga que estimula as empresas a contribuir para a mobilidade sustentável da cidade é um exemplo desta participação da comunidade por via do setor empresarial. \n7. Parcerias com Organizações Locais\nBraga colabora com organizações não governamentais e grupos comunitários para implementar iniciativas de inclusão e garantir que as ações climáticas cheguem a todos. Estas parcerias ajudam a identificar as necessidades específicas de diferentes grupos da população e a desenvolver soluções adaptadas.\n"
Lithuania,60125,"Klaipėda City Municipality aims to implement a sustainable city development strategy focused on mitigating the effects of climate change. Our assessment model relies on the implementation of specific measures related to sustainable mobility, sustainable urban development, and green urban development, along with an analysis of impact indicators.\n\n1.Environmental Impact: \n-Promoting Sustainable Mobility: By promoting alternative modes of transportation, we aim to reduce transportation emissions.\n-Sustainable Urban Development: We strive to minimize the amount of undeveloped land and preserve green infrastructure.\n-Green Urban Development: We are improving air quality, reducing emissions, preserving biodiversity, and strengthening ecosystem resilience to climate change.\n\n2.Social Impact:\n-Promoting Sustainable Mobility: We are enhancing pedestrian and bicycle safety and convenience, and encouraging healthier lifestyles.\n-Sustainable Urban Development: We are enhancing the attractiveness of the city center and mitigating population migration to the suburbs.\n-Green Urban Development: We are increasing the amount of green spaces, creating a more attractive and healthier living environment.\n\n3.Economic Impact:\n-Promoting Sustainable Mobility: We are fostering sustainable transportation sector development and increasing investor interest in sustainable projects.\n-Sustainable Urban Development: We are revitalizing the city center, creating new job opportunities.\n-Green Urban Development: We are increasing the city's attractiveness for investment projects.","For example, the climate action plan includes specific measures based on the needs of the local community:\n\nExpansion of the bicycle path network according to the priorities identified by the community.\n\nEstablishment of special public transport routes for vulnerable groups.\n\nSupport program for energy-efficient home renovations for low-income individuals."
Estonia,60126,NULL,NULL
Greece,60127,"\nThe city's opportunities to improve and evolve, while also contributing to the achievement of sustainable development goals, are largely found in the use of new technologies and big data, as well as in accelerating the entry of innovative solutions into its operations city. The city's main challenge is to rapidly adapt to sustainable systemic changes, including redesigning and delivering urban infrastructure and services that enhance citizen participation and connectivity, shape a thriving and sustainable city, build a dynamic urban economy, while responding and support climate resilience and disaster management. In total, cleaner air, improvement of public space, expansion of the green space and creation of new jobs are opportunities foreseen through climate action","Municipality of Thessaloniki, through participatory and collaborative actions has and continues to design the climate actions. The CCC 2030 describes in detail all the individual actions, their budget, the actors involved, as well as the way in which the city plans to implement them, including actions that have to do with strengthening cooperation with involved (Governance strengthening actions) as well as social innovation actions to ensure the active participation of Citizens."
France,62171,"L'amélioration de la santé (via l'amélioration de la qualité de l'air, le développement des mobilités actives, l'accès à des espaces de fraicheur en été grâce à des opérations de renaturation de l'espace public, etc.) est un co-bénéfice des actions engagées par la Métropole pour lutter contre le changement climatique, et permet d'aider à l'acceptabilité sociale de projets contraignants (restriction de la circulation automobile par exemple). D'autres avantages guident aussi l'action de la Métropole dans la lutte contre le changement climatique : l'attractivité du territoire (préservation des espaces naturels et des paysages par exemple) et l'utilité sociétale des mesures décidées pour vérifier qu'elles sont justes socialement ou que la Métropole accompagne suffisamment les publics les plus fragiles ou en difficulté face aux enjeux de transition (financièrement et techniquement).","En mars 2022, la Métropole a mis en place des aides financières à destination des entreprises et particuliers (avec accompagnement social pour les publics les plus précaires), pour aider au renouvellement d'un véhicule \'plus propre\' dans le cadre de la mise en place d'une zone à faibles émissions, qui interdit la circulation aux véhicules les plus polluants. En octobre 2022, le montant des aides versées dépassait le million d'euros (https://www.metropole-rouen-normandie.fr/actualite/2022/zfe-m-un-million-deuros-daides-deja-verses-41410)."
Spain,72920,"Dentro del análisis realizado en el marco del Plan Estratégico de Galicia se han identificado una serie de oportunidades derivados del desarrollo de políticas climáticas en Galicia. Entre las oportunidades identificadas se pueden destacar las siguientes:\n- Fomento de la I+D+i tecnológica en el campo de la eficiencia energética y de las energías renovables.\n- Emplear el ahorro energético y las energías renovables para potenciar e incrementar la competitividad, el crecimiento económico y la generación de puestos de trabajo.\n- Existencia de una diversidad de medidas incentivadoras para el empleo de medios de transporte más eficientes y responsables con el medio ambiente (fiscales, de consumo energético, etc.).\n- Aprovechamiento de infraestructuras obsoletas o no utilizadas actualmente como nuevas vías para determinados tipos de transporte (antiguas vías de ferrocarril como sendas verdes para bicicletas).\n- Fomento del uso de biocombustibles y otros combustibles renovables en el transporte.\n- Fortalecer la resiliencia y la capacidad de adaptación a los riesgos relacionados con el clima y los desastres naturales.\n- Adoptar criterios urbanísticos encaminados a conseguir asentamientos más sostenibles que sean resilientes frente a los efectos del cambio climático.\n- Desarrollo de la infraestructura necesaria para conseguir un alto grado de eficacia y eficiencia en la gestión de las emergencias.\n- Reforzar los sistemas de observación de la calidad del aire y de la calidad de las aguas y los sistemas de observación meteorológica y oceanográfica, para mejorar cualitativa y cuantitativamente la información de los ecosistemas gallegos.\n- Difundir buenas prácticas en el consumo del agua y mantenimiento de las infraestructuras en todos los ámbitos. Fomento de la corresponsabilidad en la gestión del agua.\n- Promover y desenvolver la investigación sobre la situación concreta y las dinámicas de las masas de agua, para llevar a cabo una mejor gestión de las mismas.\n- Diseñar una fiscalidad del agua que incentive el ahorro, la eficiencia, la reducción de las presiones sobre el medio hídrico e la contribución de todos los beneficiarios al sistema.\n- Desarrollo de nuevos productos y servicios resilientes al clima que fomenten la I+D+i.\n- Rías con una gran riqueza acuícola y alto potencial turístico.\n- Alto potencial ecológico de las masas de agua.\n- Fomento de la innovación en los procesos de fabricación (empleo de la biotecnología en el sector alimentario).\n- Incorporación del I+D+i en el desarrollo de eco-producto.\n- Incorporación al tejido productivo de procesos de simbiosis o ecología industrial.\n- Desarrollo de proyectos de innovación para la mejora del medio ambiente y la mitigación de los efectos del cambio climático y el diseño de procesos industriales limpios, que utilicen los recursos con mayor eficacia y que reduzcan la generación de residuos.\n- Desarrollo de la Infraestructura Verde de Galicia para la mejora de la conectividad de espacios naturales protegidos y de las especies.\n- Desarrollo de la agricultura y acuicultura ecológica.\n- Expandir la explotación agroforestal, la reforestación y la restauración de zonas degradadas para reducir las emisiones de gases de efecto invernadero.\n- Incremento de la bioenergía supone igualmente una oportunidad para los biocombustibles, en especial para la biomasa, tanto como fuente de energía térmica o eléctrica.\n- Desarrollo del modelo de pequeña explotación como alternativa al abandono de la actividad agraria, favoreciendo el mantenimiento de la población, la economía y la conservación de los recursos naturales.\n- Papel multifuncional del sector primario en mantenimiento de la biodiversidad.\n\nhttps://www.planestratexico2030.gal/presentacion-e-documentos","En materia de la vivienda se han puesto ponen en marcha medidas de eficiencia energética en el sector residencial para reducir las emisiones de carbono, gracias a programas de ayudas para impulsar la rehabilitación energética de viviendas y edificios residenciales, incluyendo programas específicos de concesión de ayudas para actuaciones de rehabilitación y/o equipamiento de edificaciones en viviendas destinadas a la atención de personas sin hogar durante el periodo 2024-2025, y ayudas para la rehabilitación de las viviendas destinadas a alquiler social. \n\n\nEn materia de movilidad se están implantando medidas para fomentar una situación de igualdad para que todas las personas tengan acceso a bicicletas eléctricas. Se fomenta además el acceso al transporte público mediante la prórroga de la bonificación del 50% (hasta diciembre 2024), de esta forma se impulsa el transporte eficiente, inclusivo y colectivo. \n\nPor otro lado, también se están poniendo en marcha actuaciones de eficiencia energética en centros sanitarios, administrativos, sociales, educativos, universitarios y culturales, mediante la cooperación con los concellos.\n\n\nParalelamente en 2024 se ha aprobado la II Estrategia de Economía Social que incorpora medidas para la implantación de entidades y proyectos del\nsector en la economía verde y azul y también en la economía circular, trabajando para ahondar en la digitalización del sector y también para reducir al máximo la huella de carbono de sus\nactividades.\n\nhttps://estratexiaeconomiasocial.gal/documentos-e-recursos/\n\n\nOrden de concesiones para bicicletas eléctricas: https://www.xunta.gal/dog/Publicados/2023/20230505/AnuncioG0533-270423-0002_es.html \n\nPrórroga de la bonificación del 50% del transporte público:\nhttps://www.xunta.gal/notas-de-prensa/-/nova/86249/rueda-anuncia-que-xunta-prorrogara-bonificacion-50-transporte-publico-autonomico\n\nEficiencia energética en los concellos: https://www.xunta.gal/notas-de-prensa/-/nova/76097/xunta-reforzara-cooperacion-cos-concellos-galegos-para-promover-eficiencia-enerxetica\n\nRehabilitación de vivendas municipais para aluguer social y personas sin vivienda: \nhttps://www.xunta.gal/dog/Publicados/2024/20240703/AnuncioG0762-240624-0003_gl.html\n\nMejora de la eficiencia energética en viviendas: https://www.xunta.gal/dog/Publicados/2024/20240711/AnuncioC3Q2-040724-0001_gl.pdf \n\nEstratexia de Economía Social\nhttps://estratexiaeconomiasocial.gal/documentos-e-recursos/\n\nBono consolida economía social: \nhttps://sede.xunta.gal/detalle-procedemento?codtram=TR802L"
Spain,72923,• Regulación y estrategias europeas que impulsan nuevos instrumentos de gestión para facilitar cumplimiento objetivos energéticos. • Existencia de nuevos modelos de negocio probados en la UE para proyectos de mejora energética. • Desarrollo y madurez creciente de las tecnologías de eficiencia energética y de las renovables. • Abundante mano de obra joven con base adecuada para su formación y capacitación en el ámbito de la transición energética • Existencia de un sector empresarial de energía y de construcción sostenible. • Mercados internacionales que permiten la expansión de las empresas andaluzas. • Desarrollo de la economía circular y la bioeconomía como base de la industria europea. • Existencia de fondos europeos dirigidos a la descarbonización de la economía,No se aportan evidencias
Spain,72924,"Serán principios de actuación de las administraciones públicas de Navarra para alcanzar los objetivos de la Ley Foral 4/2022:\n\na) La acción preventiva frente al cambio climático.\n\nb) El enfoque de género, según el cual la implementación de los planes y medidas que se incluyen en esta ley foral deben incluir esa perspectiva.\n\nc) La equidad; todas las personas deberán tener acceso a la energía necesaria para disponer de unas condiciones dignas de vida en sus hogares. Asimismo, las medidas de adaptación deben contemplar la reducción de las desigualdades sociales creadas o agudizadas por el cambio climático. Igualmente, las instituciones deben actuar de forma equitativa en todo el territorio en el cual son competentes.\n\nd) La transparencia; para actuar correctamente la ciudadanía debe recibir información veraz y asequible sobre los efectos que pueden afectarle.\n\ne) La anticipación, favoreciendo la investigación y el conocimiento en base a los escenarios climáticos.\n\nf) Recuperación de los hábitats, especialmente los forestales.\n\ng) La adaptación a escenarios y horizontes; el análisis, la evaluación, la definición y la difusión de nuevas prácticas en los diferentes sectores de actividad acordes con los cambios previstos en el clima.\n\nh) La precaución ante efectos potencialmente peligrosos de fenómenos, productos o procesos, así como ante los riesgos potenciales no conocidos que impacten en nuestro hábitat y en los entornos naturales.\n\ni) La innovación tecnológica y social; tanto el diagnóstico de los problemas climáticos y energéticos, como las soluciones que a ellos se propongan deben tener en cuenta las mejores y más recientes evidencias científicas fundamentadas, con base en la debida evaluación, cálculos objetivos y medidas eficaces.\n\nj) La subsidiariedad en la aplicación de las actuaciones que se deriven de esta ley foral.",NULL
Spain,72926,"Se han identificado beneficios para la salud, por medio de la adaptación al cambio climático y también la mejora en calidad del aire con la reducción de emisiones. Por otro lado se identificó la reducción en las importaciones de combustible, así como oportunidades tecnológicas e industriales fruto de iniciativas de sostenibilidad.","La Ley 1/2024 de Transición Energética y Cambio Climático estipula el deber de la inclusión y la distribución equitativa de acciones dentro de la transición energética y climática. Se está desarrollando una hoja de ruta que incluye como pilar principal la transición justa. Se publicó en 2023 un informe de cambio climático desde la perspectiva de género, abordando la participación ciudadana, proponiendo retos y acciones para integrar políticas transversales de igualdad y cambio climático."
Spain,72927,NULL,This is an aspect that is addressed in the coming years in the framework of the development works of the new Catalan Strategy for Adaptation to Climate Change 2021-2030.
France,73095,"The benefits indentified are mostly social and economical benefits. For instance, impacts on employment and economic benefits are assessed when renewable energy projects are conducted,. Tourism policy also takes into account climate issues and the benefits linked to the necessary transition in this sector: slow tourism, new tourist destinations, new leisure activities ....",NULL
Finland,73104,NULL,"Social sustainability is included in the Green Transition Program, but the actions are yet to be defined."
Türkiye,74673,"They are financial support, increasing in international profile, networking and new alliances","The Global Climate Community İzmir organization was established for the purpose of planning and supervising the Climate Neutral and Smart Cities Mission studies, which aim to bring cities to the “climate neutral” point. The goal of KİT Izmir is to take the title of \'Mission City\' and become a climate neutral city in 2030 and to prepare a \'Climate City Agreement\'\n\nWith the 'Izmir Citizen Assembly for Climate' project, Izmir Metropolitan Municipality aims to build social resilience against the impacts of climate change in Izmir, to involve local people in the determination of climate policies and to contribute to decision-making processes."
Poland,74723,NULL,-
Portugal,826425,"O principal benefício da concretização do plano municipal de adaptação às alterações climáticas é a mitigação de riscos e vulnerabilidades identificadas na região, tanto numa perspetiva atual como numa projeção.",Em fase de planeamento
Portugal,826427,"Espaço para a implementação de novos projetos / técnicas. \n\n Oportunidades para novas parcerias e colaboração, não só com entidades externas, mas também com cidadãos preocupados e com interesse nas questões do clima. \n\n Educação Ambiental: Identificação de temáticas a trabalhar. \n\n Envolvimento ativo dos jovens através de ações específicas para este público-alvo, como o Orçamento Participativo Jovem.","As iniciativas dinamizadas pelo Município estão disponíveis ao público, em geral, sem qualquer custo associado ou restrição; \n\nAs iniciativas de Educação Ambiental são promovidas em todas as escolas, que são representativas de diferentes contextos socioeconómicos; \n\nO Município promove oportunidades de participação na discussão e tomada de decisão em matéria de ambiente e ação climática, como por exemplo a existência de um Orçamento Participativo Jovem que permite a apresentação de propostas também em matéria de clima e a sua concretização."
Portugal,826429,"O Municipio dispõe de um Plano Municipal de Ação Climática (PMAC), aprovado em Fevereiro de 2024, que pretende servir de contributo para os desígnios nacionais, sendo que está em consonância com os objetivos e metas estabelecidos a nível nacional, pretendendo ainda servir como instrumento de integração e gestão das políticas e instrumentos do Município em matéria de mitigação, adaptação, erradicação da pobreza energética e promoção da qualidade de vida e bem-estar.","O Plano Municipal de Ação Climática do Município contempla medidas de inclusão de grupos desfavorecidos e igualitária, nomeadamente ao nível da Energia, como por exemplo:\n- Criação de um gabinete permanente (one-Stop-Shop), de apoio ao cidadão para a tomada de decisão (que permitirá identificar famílias mais carenciadas e desfavorecidas);\n- Criação de um Gabinete Móvel para a Mitigação da Pobreza Energética, que irá percorrer as freguesias do Município de forma a sensibilizar os cidadãos relativamente ao problema da pobreza energética, assim como propor mudanças comportamentais no consumo de energia, e ainda divulgar medidas de eficiência energética de baixo custo, orientando-os na participação ou criação de comunidades de energia."
